"lma"	"mode"
"702"	90.5531103538765	"Large Canopy"
"703"	39.855475532343	"Understory"
"704"	82.0746151336365	"Large Canopy"
"705"	NA	"Large Canopy"
"706"	NA	"Large Canopy"
"707"	108.364488696248	"Understory"
"708"	79.7697652300305	"Understory"
"709"	119.6410469	"Understory"
"710"	108.158728	"Large Canopy"
"711"	127.6552871	"Canopy"
"712"	253.5660367	"Canopy"
"713"	126.9650088	"Understory"
"714"	69.682955	"Canopy"
"715"	80.5078767	"Large Canopy"
"716"	55.9317765	"Understory"
"717"	201.01573	"Understory"
"718"	200.5785878	"Understory"
"719"	145.4780596	"Understory"
